county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Cambria,2005,11.4,1,,,,Erie,2011,6.7,0,,,,,
Carbon,2005,21.4,1,,,,Lackawanna,2011,12,0,,,,,
Centre,2005,13.2,1,,,,Lancaster,2011,7.6,0,,,,,
Clearfield,2005,9.5,1,,,,Lebanon,2011,6.1,0,,,,,
Columbia,2005,14.6,1,,,,Lehigh,2011,14.5,0,,,,,
Crawford,2005,17.8,1,,,,Luzerne,2011,12.5,0,,,,,
Elk,2005,12.3,1,,,,Montgomery,2011,11.4,0,,,,,
Fayette,2005,20.4,1,,,,Northampton,2011,13.5,0,,,,,
Franklin,2005,8.7,1,,,,Philadelphia,2011,50.8,0,,,,,
Greene,2005,12.1,1,,,,Westmoreland,2011,15.3,0,,,,,
Huntingdon,2005,16.9,1,,,,York,2011,6.7,0,,,,,
Indiana,2005,20.5,1,,,,Allegheny,2012,16.5,0,,,,,
Jefferson,2005,9.5,1,,,,Beaver,2012,9.7,0,,,,,
Lawrence,2005,31,1,,,,Berks,2012,15.3,0,,,,,
Lycoming,2005,6.7,1,,,,Bucks,2012,10.6,0,,,,,
McKean,2005,18.4,1,,,,Chester,2012,7.1,0,,,,,
Mercer,2005,16,1,,,,Cumberland,2012,5.5,0,,,,,
Mifflin,2005,16.2,1,,,,Dauphin,2012,10.9,0,,,,,
Monroe,2005,14.3,1,,,,Delaware,2012,16.6,0,,,,,
Northumberland,2005,11.4,1,,,,Erie,2012,5.5,0,,,,,
Schuylkill,2005,17.2,1,,,,Lackawanna,2012,12,0,,,,,
Somerset,2005,11.4,1,,,,Lancaster,2012,8.1,0,,,,,
Susquehanna,2005,22.4,1,,,,Lebanon,2012,6.5,0,,,,,
Venango,2005,15.5,1,,,,Lehigh,2012,12.9,0,,,,,
Washington,2005,19.1,1,,,,Luzerne,2012,10.5,0,,,,,
Wayne,2005,13.4,1,,,,Montgomery,2012,11.2,0,,,,,
Wyoming,2005,17.8,1,,,,Northampton,2012,13.2,0,,,,,
Cameron,2005,NA,1,,,,Philadelphia,2012,48.2,0,,,,,
Clarion,2005,13.3,1,,,,Westmoreland,2012,13.7,0,,,,,
Clinton,2005,9,1,,,,York,2012,6,0,,,,,
Forest,2005,NA,1,,,,Allegheny,2013,14.6,0,,,,,
Fulton,2005,NA,1,,,,Beaver,2013,8.5,0,,,,,
Juniata,2005,8.6,1,,,,Berks,2013,17.2,0,,,,,
Montour,2005,NA,1,,,,Bucks,2013,9.8,0,,,,,
Perry,2005,8,1,,,,Chester,2013,6.5,0,,,,,
Pike,2005,6.8,1,,,,Cumberland,2013,7.5,0,,,,,
Potter,2005,NA,1,,,,Dauphin,2013,11.8,0,,,,,
